ID,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,GEN_LOCATION,DAMAGE,DEATHS,FLOODS
1,1902,3,17,45.25,-66.07,"Saint John River basin, New Brunswick",0.025,1,Multiple
2,1904,4,-,50.65,-104.87,"Qu'appelle River basin, Saskatchewan",-,0,Multiple
3,1904,4,24,49.9,-97.15,"Red River, Manitoba",-,0,Multiple
4,1909,1,4,45.8,-65.17,"Chester, New Brunswick",0.1,1,Multiple
5,1912,4,1,43.5,-81,Southern Ontario,0.5,0,Multiple
6,1913,5,2,49.9,-97.15,"Assiniboine River, Manitoba",-,0,Multiple
7,1915,-,-,53.6,-110,Border of Alberta/Saskatchewan on North Saskatchewan River,-,0,Multiple
8,1915,7,8,47.3,-65.5,Northeastern New Brunswick,0.25,0,Single
9,1916,4,24,49.9,-97.15,"Red River, Manitoba",-,0,Multiple
10,1916,4,25,45,-79,Central Ontario,1,0,Single
11,1917,11,28,55.2,-129.1,Northwestern British Columbia,-,0,Single
12,1920,3,17,45,-76,Southeastern Ontario,0.9,0,Single
13,1922,-,-,49.9,-97.15,"Winnipeg, Manitoba",-,0,Multiple
14,1922,6,17,45.25,-66.07,"Saint John River basin, New Brunswick",0.5,0,Multiple
15,1923,4,-,49.9,-97.15,"Winnipeg, Manitoba",-,0,Multiple
16,1923,4,29,45.25,-66.07,"Saint John River basin, New Brunswick",3.75,2,Multiple
17,1925,5,7,64.17,-139.5,"Dawson,Yukon",-,0,Multiple
18,1928,-,-,46.75,-71.28,"Chaudière River, Quebec",-,3,Multiple
19,1929,1,18,43.5,-81,Southern Ontario,0.25,0,Multiple
20,1929,4,5,43.5,-81,Southern Ontario,1.3,0,Multiple
21,1933,5,4,48,-66.5,New Brunswick and eastern Quebec,-,3,Single
22,1933,10,25,45.5,-66.5,Southern New Brunswick,-,7,Single
23,1934,4,16,46.88,-67.37,New Brunswick,0.232,0,Single
24,1935,1,10,45,-63,Nova Scotia,1,2,Single
25,1936,3,10,43.5,-81,Southern Ontario,0.35,0,Multiple
26,1936,3,16,45.25,-66.07,"Saint John River basin, New Brunswick",1.9,0,Multiple
27,1936,5,29,54.6,-128.4,Northwestern British Columbia,-,0,Single
